FKL15A,ICD10_Text,Kategori
B36,B36 Other superficial mycoses,Penyakit Lainnya
B37,B37 Candidiasis,Penyakit Lainnya
B38,B38 Coccidioidomycosis,Penyakit Lainnya
B39,B39 Histoplasmosis,Penyakit Lainnya
B42,B42 Sporotrichosis,Penyakit Lainnya
B43,B43 Chromomycosis and phaeomycotic abscess,Penyakit Lainnya
B44,B44 Aspergillosis,Penyakit Lainnya
B45,B45 Cryptococcosis,Penyakit Lainnya
B46,B46 Zygomycosis,Penyakit Lainnya
B48,"B48 Other mycoses, not elsewhere classified",Penyakit Lainnya
B49,B49 Unspecified mycosis,Penyakit Lainnya
B50,B50 Plasmodium falciparum malaria,Penyakit Lainnya
B51,B51 Plasmodium vivax malaria,Penyakit Lainnya
B52,B52 Plasmodium malariae malaria,Penyakit Lainnya
B53,B53 Other parasitologically confirmed malaria,Penyakit Lainnya
B54,B54 Unspecified malaria,Penyakit Lainnya
B58,B58 Toxoplasmosis,Penyakit Lainnya
B59,B59 Pneumocystosis,Penyakit Lainnya
B65,B65 Schistosomiasis [bilharziasis],Penyakit Lainnya
B66,B66 Other fluke infections,Penyakit Lainnya
B67,B67 Echinococcosis,Penyakit Lainnya
B68,B68 Taeniasis,Penyakit Lainnya
B69,B69 Cysticercosis,Penyakit Lainnya
B71,B71 Other cestode infections,Penyakit Lainnya
B74,B74 Filariasis,Penyakit Lainnya
B76,B76 Hookworm diseases,Penyakit Lainnya
B77,B77 Ascariasis,Penyakit Lainnya
B82,B82 Unspecified intestinal parasitism,Penyakit Lainnya
B83,B83 Other helminthiases,Penyakit Lainnya
B85,B85 Pediculosis and phthiriasis,Penyakit Lainnya
B86,B86 Scabies,Penyakit Lainnya
B87,B87 Myiasis,Penyakit Lainnya
B88,B88 Other infestations,Penyakit Lainnya
B90,B90 Sequelae of tuberculosis,Penyakit Lainnya
B92,B92 Sequelae of leprosy,Penyakit Lainnya
B94,B94 Sequelae of other and unspecified infectious and parasitic diseases,Penyakit Lainnya
B95,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Penyakit Lainnya
B96,B96 Other specified bacterial agents as the cause of diseases classified to other chapters,Penyakit Lainnya
B97,B97 Viral agents as the cause of diseases classified to other chapters,Penyakit Lainnya
B99,B99 Other and unspecified infectious diseases,Penyakit Lainnya
C00,C00 Malignant neoplasm of lip,Katastropik
C01,C01 Malignant neoplasm of base of tongue,Katastropik
C02,C02 Malignant neoplasm of other and unspecified parts of tongue,Katastropik
C03,C03 Malignant neoplasm of gum,Katastropik
C04,C04 Malignant neoplasm of floor of mouth,Katastropik
C05,C05 Malignant neoplasm of palate,Katastropik
C06,C06 Malignant neoplasm of other and unspecified parts of mouth,Katastropik
C07,C07 Malignant neoplasm of parotid gland,Katastropik
C08,C08 Malignant neoplasm of other and unspecified major salivary glands,Katastropik
C09,C09 Malignant neoplasm of tonsil,Katastropik
C10,C10 Malignant neoplasm of oropharynx,Katastropik
C11,C11 Malignant neoplasm of nasopharynx,Katastropik
C12,C12 Malignant neoplasm of piriform sinus,Katastropik
C14,"C14 Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Katastropik
C15,C15 Malignant neoplasm of oesophagus,Katastropik
C16,C16 Malignant neoplasm of stomach,Katastropik
C17,C17 Malignant neoplasm of small intestine,Katastropik
C18,C18 Malignant neoplasm of colon,Katastropik
C19,C19 Malignant neoplasm of rectosigmoid junction,Katastropik
C20,C20 Malignant neoplasm of rectum,Katastropik
C21,C21 Malignant neoplasm of anus and anal canal,Katastropik
C22,C22 Malignant neoplasm of liver and intrahepatic bile ducts,Katastropik
C23,C23 Malignant neoplasm of gallbladder,Katastropik
C24,C24 Malignant neoplasm of other and unspecified parts of biliary tract,Katastropik
C25,C25 Malignant neoplasm of pancreas,Katastropik
C26,C26 Malignant neoplasm of other and ill-defined digestive organs,Katastropik
C30,C30 Malignant neoplasm of nasal cavity and middle ear,Katastropik
C31,C31 Malignant neoplasm of accessory sinuses,Katastropik
C32,C32 Malignant neoplasm of larynx,Katastropik
C33,C33 Malignant neoplasm of trachea,Katastropik
C34,C34 Malignant neoplasm of bronchus and lung,Katastropik
C37,C37 Malignant neoplasm of thymus,Katastropik
C38,"C38 Malignant neoplasm of heart, mediastinum and pleura",Katastropik
C40,C40 Malignant neoplasm of bone and articular cartilage of limbs,Katastropik
C41,C41 Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Katastropik
C43,C43 Malignant melanoma of skin,Katastropik
C44,C44 Other malignant neoplasms of skin,Katastropik
C45,C45 Mesothelioma,Katastropik
C46,C46 Kaposi sarcoma,Katastropik
C47,C47 Malignant neoplasm of peripheral nerves and autonomic nervous system,Katastropik
C49,C49 Malignant neoplasm of other connective and soft tissue,Katastropik
C50,C50 Malignant neoplasm of breast,Katastropik
C51,C51 Malignant neoplasm of vulva,Katastropik
C52,C52 Malignant neoplasm of vagina,Katastropik
C53,C53 Malignant neoplasm of cervix uteri,Katastropik
C54,C54 Malignant neoplasm of corpus uteri,Katastropik
C55,"C55 Malignant neoplasm of uterus, part unspecified",Katastropik
C56,C56 Malignant neoplasm of ovary,Katastropik
C57,C57 Malignant neoplasm of other and unspecified female genital organs,Katastropik
C58,C58 Malignant neoplasm of placenta,Katastropik
C60,C60 Malignant neoplasm of penis,Katastropik
C61,C61 Malignant neoplasm of prostate,Katastropik
C62,C62 Malignant neoplasm of testis,Katastropik
C63,C63 Malignant neoplasm of other and unspecified male genital organs,Katastropik
C64,"C64 Malignant neoplasm of kidney, except renal pelvis",Katastropik
C65,C65 Malignant neoplasm of renal pelvis,Katastropik
C66,C66 Malignant neoplasm of ureter,Katastropik
C67,C67 Malignant neoplasm of bladder,Katastropik
C68,C68 Malignant neoplasm of other and unspecified urinary organs,Katastropik
C69,C69 Malignant neoplasm of eye and adnexa,Katastropik
C70,C70 Malignant neoplasm of meninges,Katastropik
C71,C71 Malignant neoplasm of brain,Katastropik
C73,C73 Malignant neoplasm of thyroid gland,Katastropik
C74,C74 Malignant neoplasm of adrenal gland,Katastropik
C75,C75 Malignant neoplasm of other endocrine glands and related structures,Katastropik
C76,C76 Malignant neoplasm of other and ill-defined sites,Katastropik
C77,C77 Secondary and unspecified malignant neoplasm of lymph nodes,Katastropik
C78,C78 Secondary malignant neoplasm of respiratory and digestive organs,Katastropik
C79,C79 Secondary malignant neoplasm of other and unspecified sites,Katastropik
C80,"C80 Malignant neoplasm, without specification of site",Katastropik
C81,C81 Hodgkin lymphoma,Katastropik
C82,C82 Follicular lymphoma,Katastropik
C83,C83 Non-follicular lymphoma,Katastropik
C84,C84 Mature T/NK-cell lymphomas,Katastropik
C85,C85 Other and unspecified types of non-Hodgkin lymphoma,Penyakit Lainnya
C90,C90 Multiple myeloma and malignant plasma cell neoplasms,Katastropik
C91,C91 Lymphoid leukaemia,Katastropik
C92,C92 Myeloid leukaemia,Katastropik
C93,C93 Monocytic leukaemia,Katastropik
C94,C94 Other leukaemias of specified cell type,Katastropik
C95,C95 Leukaemia of unspecified cell type,Katastropik
C96,"C96 Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Katastropik
C97,C97 Malignant neoplasms of independent (primary) multiple sites,Katastropik
D00,"D00 Carcinoma in situ of oral cavity, oesophagus and stomach",Penyakit Lainnya
D01,D01 Carcinoma in situ of other and unspecified digestive organs,Penyakit Lainnya
D02,D02 Carcinoma in situ of middle ear and respiratory system,Penyakit Lainnya
D03,D03 Melanoma in situ,Penyakit Lainnya
D04,D04 Carcinoma in situ of skin,Penyakit Lainnya
D05,D05 Carcinoma in situ of breast,Penyakit Lainnya
D06,D06 Carcinoma in situ of cervix uteri,Penyakit Lainnya
D07,D07 Carcinoma in situ of other and unspecified genital organs,Penyakit Lainnya
D09,D09 Carcinoma in situ of other and unspecified sites,Penyakit Lainnya
D10,D10 Benign neoplasm of mouth and pharynx,Penyakit Lainnya
D11,D11 Benign neoplasm of major salivary glands,Penyakit Lainnya
D12,"D12 Benign neoplasm of colon, rectum, anus and anal canal",Penyakit Lainnya
D13,D13 Benign neoplasm of other and ill-defined parts of digestive system,Penyakit Lainnya
D14,D14 Benign neoplasm of middle ear and respiratory system,Penyakit Lainnya
D15,D15 Benign neoplasm of other and unspecified intrathoracic organs,Penyakit Lainnya
D16,D16 Benign neoplasm of bone and articular cartilage,Penyakit Lainnya
D17,D17 Benign lipomatous neoplasm,Penyakit Lainnya
D18,"D18 Haemangioma and lymphangioma, any site",Penyakit Lainnya
D19,D19 Benign neoplasm of mesothelial tissue,Penyakit Lainnya
D20,D20 Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Penyakit Lainnya
D21,D21 Other benign neoplasms of connective and other soft tissue,Penyakit Lainnya
D22,D22 Melanocytic naevi,Penyakit Lainnya
D23,D23 Other benign neoplasms of skin,Penyakit Lainnya
D24,D24 Benign neoplasm of breast,Penyakit Lainnya
D25,D25 Leiomyoma of uterus,Penyakit Lainnya
D26,D26 Other benign neoplasms of uterus,Penyakit Lainnya
D27,D27 Benign neoplasm of ovary,Penyakit Lainnya
D28,D28 Benign neoplasm of other and unspecified female genital organs,Penyakit Lainnya
D29,D29 Benign neoplasm of male genital organs,Penyakit Lainnya
D30,D30 Benign neoplasm of urinary organs,Penyakit Lainnya
D31,D31 Benign neoplasm of eye and adnexa,Penyakit Lainnya
D32,D32 Benign neoplasm of meninges,Penyakit Lainnya
D33,D33 Benign neoplasm of brain and other parts of central nervous system,Penyakit Lainnya
D34,D34 Benign neoplasm of thyroid gland,Penyakit Lainnya
D35,D35 Benign neoplasm of other and unspecified endocrine glands,Penyakit Lainnya
D36,D36 Benign neoplasm of other and unspecified sites,Penyakit Lainnya
D37,D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Katastropik
D38,D38 Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Katastropik
D39,D39 Neoplasm of uncertain or unknown behaviour of female genital organs,Katastropik
D40,D40 Neoplasm of uncertain or unknown behaviour of male genital organs,Katastropik
D41,D41 Neoplasm of uncertain or unknown behaviour of urinary organs,Katastropik
D42,D42 Neoplasm of uncertain or unknown behaviour of meninges,Katastropik
D43,D43 Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Katastropik
D44,D44 Neoplasm of uncertain or unknown behaviour of endocrine glands,Katastropik
D45,D45 Polycythaemia vera,Katastropik
D46,D46 Myelodysplastic syndromes,Katastropik
D47,"D47 Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Katastropik
D48,D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Katastropik
D50,D50 Iron deficiency anaemia,Penyakit Lainnya
D51,D51 Vitamin B12 deficiency anaemia,Penyakit Lainnya
D52,D52 Folate deficiency anaemia,Penyakit Lainnya
D53,D53 Other nutritional anaemias,Penyakit Lainnya
D55,D55 Anaemia due to enzyme disorders,Penyakit Lainnya
D56,D56 Thalassaemia,Katastropik
D58,D58 Other hereditary haemolytic anaemias,Penyakit Lainnya
D59,D59 Acquired haemolytic anaemia,Penyakit Lainnya
D61,D61 Other aplastic anaemias,Penyakit Lainnya
D62,D62 Acute posthaemorrhagic anaemia,Penyakit Lainnya
D64,D64 Other anaemias,Penyakit Lainnya
D65,D65 Disseminated intravascular coagulation [defibrination syndrome],Katastropik
D66,D66 Hereditary factor VIII deficiency,Penyakit Lainnya
D67,D67 Hereditary factor IX deficiency,Penyakit Lainnya
D68,D68 Other coagulation defects,Katastropik
D69,D69 Purpura and other haemorrhagic conditions,Katastropik
D70,D70 Agranulocytosis,Katastropik
D72,D72 Other disorders of white blood cells,Penyakit Lainnya
D73,D73 Diseases of spleen,Katastropik
D75,D75 Other diseases of blood and blood-forming organs,Penyakit Lainnya
D76,D76 Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,Katastropik
D80,D80 Immunodeficiency with predominantly antibody defects,Penyakit Lainnya
D81,D81 Combined immunodeficiencies,Penyakit Lainnya
D83,D83 Common variable immunodeficiency,Penyakit Lainnya
D84,D84 Other immunodeficiencies,Penyakit Lainnya
D86,D86 Sarcoidosis,Penyakit Lainnya
D89,"D89 Other disorders involving the immune mechanism, not elsewhere classified",Penyakit Lainnya
E01,E01 Iodine-deficiency-related thyroid disorders and allied conditions,Penyakit Lainnya
E02,E02 Subclinical iodine-deficiency hypothyroidism,Penyakit Lainnya
E03,E03 Other hypothyroidism,Penyakit Lainnya
E04,E04 Other nontoxic goitre,Penyakit Lainnya
E05,E05 Thyrotoxicosis [hyperthyroidism],Penyakit Lainnya
E06,E06 Thyroiditis,Penyakit Lainnya
E07,E07 Other disorders of thyroid,Penyakit Lainnya
E10,E10 Type 1 diabetes mellitus,Katastropik
E11,E11 Type 2 diabetes mellitus,Katastropik
E12,E12 Malnutrition-related diabetes mellitus,Katastropik
E13,E13 Other specified diabetes mellitus,Katastropik
E14,E14 Unspecified diabetes mellitus,Penyakit Lainnya
E15,E15 Nondiabetic hypoglycaemic coma,Penyakit Lainnya
E16,E16 Other disorders of pancreatic internal secretion,Penyakit Lainnya
E20,E20 Hypoparathyroidism,Penyakit Lainnya
E21,E21 Hyperparathyroidism and other disorders of parathyroid gland,Penyakit Lainnya
E22,E22 Hyperfunction of pituitary gland,Katastropik
E23,E23 Hypofunction and other disorders of pituitary gland,Katastropik
E24,E24 Cushing syndrome,Katastropik
E26,E26 Hyperaldosteronism,Penyakit Lainnya
E27,E27 Other disorders of adrenal gland,Penyakit Lainnya
E28,E28 Ovarian dysfunction,Penyakit Lainnya
E30,"E30 Disorders of puberty, not elsewhere classified",Penyakit Lainnya
E32,E32 Diseases of thymus,Penyakit Lainnya
E34,E34 Other endocrine disorders,Penyakit Lainnya
E40,E40 Kwashiorkor,Penyakit Lainnya
E41,E41 Nutritional marasmus,Penyakit Lainnya
E43,E43 Unspecified severe protein-energy malnutrition,Penyakit Lainnya
E44,E44 Protein-energy malnutrition of moderate and mild degree,Penyakit Lainnya
E45,E45 Retarded development following protein-energy malnutrition,Katastropik
E46,E46 Unspecified protein-energy malnutrition,Penyakit Lainnya
E50,E50 Vitamin A deficiency,Penyakit Lainnya
E63,E63 Other nutritional deficiencies,Penyakit Lainnya
E64,E64 Sequelae of malnutrition and other nutritional deficiencies,Penyakit Lainnya
E66,E66 Obesity,Penyakit Lainnya
E67,E67 Other hyperalimentation,Penyakit Lainnya
E70,E70 Disorders of aromatic amino-acid metabolism,Penyakit Lainnya
E73,E73 Lactose intolerance,Penyakit Lainnya
E74,E74 Other disorders of carbohydrate metabolism,Penyakit Lainnya
E75,E75 Disorders of sphingolipid metabolism and other lipid storage disorders,Penyakit Lainnya
E78,E78 Disorders of lipoprotein metabolism and other lipidaemias,Penyakit Lainnya
E79,E79 Disorders of purine and pyrimidine metabolism,Penyakit Lainnya
E80,E80 Disorders of porphyrin and bilirubin metabolism,Penyakit Lainnya
E83,E83 Disorders of mineral metabolism,Penyakit Lainnya
E84,E84 Cystic fibrosis,Penyakit Lainnya
E85,E85 Amyloidosis,Penyakit Lainnya
E86,E86 Volume depletion,Penyakit Lainnya
E87,"E87 Other disorders of fluid, electrolyte and acid-base balance",Penyakit Lainnya
E88,E88 Other metabolic disorders,Penyakit Lainnya
E89,"E89 Postprocedural endocrine and metabolic disorders, not elsewhere classified",Katastropik
F01,F01 Vascular dementia,Penyakit Lainnya
F03,F03 Unspecified dementia,Penyakit Lainnya
F04,"F04 Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",Penyakit Lainnya
F05,"F05 Delirium, not induced by alcohol and other psychoactive substances",Penyakit Lainnya
F06,F06 Other mental disorders due to brain damage and dysfunction and to physical disease,Penyakit Lainnya
F07,"F07 Personality and behavioural disorders due to brain disease, damage and dysfunction",Penyakit Lainnya
F09,F09 Unspecified organic or symptomatic mental disorder,Penyakit Lainnya
F10,F10 Mental and behavioural disorders due to use of alcohol,Penyakit Lainnya
F13,F13 Mental and behavioural disorders due to use of sedatives or hypnotics,Penyakit Lainnya
F14,F14 Mental and behavioural disorders due to use of cocaine,Penyakit Lainnya
F15,"F15 Mental and behavioural disorders due to use of other stimulants, including caffeine",Penyakit Lainnya
F18,F18 Mental and behavioural disorders due to use of volatile solvents,Penyakit Lainnya
F19,F19 Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Penyakit Lainnya
F20,F20 Schizophrenia,Penyakit Lainnya
F21,F21 Schizotypal disorder,Penyakit Lainnya
F22,F22 Persistent delusional disorders,Penyakit Lainnya
F23,F23 Acute and transient psychotic disorders,Penyakit Lainnya
F25,F25 Schizoaffective disorders,Penyakit Lainnya
F28,F28 Other nonorganic psychotic disorders,Penyakit Lainnya
F29,F29 Unspecified nonorganic psychosis,Penyakit Lainnya
F30,F30 Manic episode,Penyakit Lainnya
F31,F31 Bipolar affective disorder,Penyakit Lainnya
F32,F32 Depressive episode,Penyakit Lainnya
F33,F33 Recurrent depressive disorder,Penyakit Lainnya
F34,F34 Persistent mood [affective] disorders,Penyakit Lainnya
F38,F38 Other mood [affective] disorders,Penyakit Lainnya
F39,F39 Unspecified mood [affective] disorder,Penyakit Lainnya
F40,F40 Phobic anxiety disorders,Penyakit Lainnya
F41,F41 Other anxiety disorders,Penyakit Lainnya
F42,F42 Obsessive-compulsive disorder,Penyakit Lainnya
F43,"F43 Reaction to severe stress, and adjustment disorders",Penyakit Lainnya
F44,F44 Dissociative [conversion] disorders,Penyakit Lainnya
F45,F45 Somatoform disorders,Penyakit Lainnya
F48,F48 Other neurotic disorders,Penyakit Lainnya
F50,F50 Eating disorders,Penyakit Lainnya
F51,F51 Nonorganic sleep disorders,Penyakit Lainnya
F52,"F52 Sexual dysfunction, not caused by organic disorder or disease",Penyakit Lainnya
F53,"F53 Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Penyakit Lainnya
F59,F59 Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Penyakit Lainnya
F60,F60 Specific personality disorders,Penyakit Lainnya
F63,F63 Habit and impulse disorders,Penyakit Lainnya
F65,F65 Disorders of sexual preference,Penyakit Lainnya
F70,F70 Mild mental retardation,Penyakit Lainnya
F71,F71 Moderate mental retardation,Penyakit Lainnya
F72,F72 Severe mental retardation,Penyakit Lainnya
F78,F78 Other mental retardation,Penyakit Lainnya
F79,F79 Unspecified mental retardation,Penyakit Lainnya
F80,F80 Specific developmental disorders of speech and language,Penyakit Lainnya
F81,F81 Specific developmental disorders of scholastic skills,Penyakit Lainnya
F82,F82 Specific developmental disorder of motor function,Penyakit Lainnya
F83,F83 Mixed specific developmental disorders,Penyakit Lainnya
F84,F84 Pervasive developmental disorders,Penyakit Lainnya
F88,F88 Other disorders of psychological development,Penyakit Lainnya
F89,F89 Unspecified disorder of psychological development,Penyakit Lainnya
F90,F90 Hyperkinetic disorders,Penyakit Lainnya
F91,F91 Conduct disorders,Penyakit Lainnya
F92,F92 Mixed disorders of conduct and emotions,Penyakit Lainnya
F93,F93 Emotional disorders with onset specific to childhood,Penyakit Lainnya
F95,F95 Tic disorders,Penyakit Lainnya
F98,F98 Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Penyakit Lainnya
F99,"F99 Mental disorder, not otherwise specified",Penyakit Lainnya
G00,"G00 Bacterial meningitis, not elsewhere classified",Penyakit Lainnya
G03,G03 Meningitis due to other and unspecified causes,Penyakit Lainnya
G04,"G04 Encephalitis, myelitis and encephalomyelitis",Penyakit Lainnya
G06,G06 Intracranial and intraspinal abscess and granuloma,Penyakit Lainnya
G09,G09 Sequelae of inflammatory diseases of central nervous system,Penyakit Lainnya
G10,G10 Huntington disease,Penyakit Lainnya
G11,G11 Hereditary ataxia,Penyakit Lainnya
G12,G12 Spinal muscular atrophy and related syndromes,Penyakit Lainnya
G20,G20 Parkinson disease,Penyakit Lainnya
G21,G21 Secondary parkinsonism,Penyakit Lainnya
G23,G23 Other degenerative diseases of basal ganglia,Penyakit Lainnya
G24,G24 Dystonia,Penyakit Lainnya
G25,G25 Other extrapyramidal and movement disorders,Penyakit Lainnya
G30,G30 Alzheimer disease,Penyakit Lainnya
G31,"G31 Other degenerative diseases of nervous system, not elsewhere classified",Penyakit Lainnya
G35,G35 Multiple sclerosis,Penyakit Lainnya
G36,G36 Other acute disseminated demyelination,Penyakit Lainnya
G37,G37 Other demyelinating diseases of central nervous system,Penyakit Lainnya
G40,G40 Epilepsy,Penyakit Lainnya
G41,G41 Status epilepticus,Penyakit Lainnya
G43,G43 Migraine,Penyakit Lainnya
G44,G44 Other headache syndromes,Penyakit Lainnya
G45,G45 Transient cerebral ischaemic attacks and related syndromes,Penyakit Lainnya
G47,G47 Sleep disorders,Penyakit Lainnya
G50,G50 Disorders of trigeminal nerve,Penyakit Lainnya
G51,G51 Facial nerve disorders,Penyakit Lainnya
G52,G52 Disorders of other cranial nerves,Penyakit Lainnya
G54,G54 Nerve root and plexus disorders,Penyakit Lainnya
G56,G56 Mononeuropathies of upper limb,Penyakit Lainnya
G57,G57 Mononeuropathies of lower limb,Penyakit Lainnya
G58,G58 Other mononeuropathies,Penyakit Lainnya
G60,G60 Hereditary and idiopathic neuropathy,Penyakit Lainnya
G61,G61 Inflammatory polyneuropathy,Penyakit Lainnya
G62,G62 Other polyneuropathies,Penyakit Lainnya
G63,G63 Polyneuropathy in diseases classified elsewhere,Penyakit Lainnya
G64,G64 Other disorders of peripheral nervous system,Penyakit Lainnya
G70,G70 Myasthenia gravis and other myoneural disorders,Penyakit Lainnya
G71,G71 Primary disorders of muscles,Penyakit Lainnya
G72,G72 Other myopathies,Penyakit Lainnya
G80,G80 Cerebral palsy,Penyakit Lainnya
G81,G81 Hemiplegia,Penyakit Lainnya
G82,G82 Paraplegia and tetraplegia,Penyakit Lainnya
G83,G83 Other paralytic syndromes,Penyakit Lainnya
G90,G90 Disorders of autonomic nervous system,Penyakit Lainnya
G91,G91 Hydrocephalus,Penyakit Lainnya
G92,G92 Toxic encephalopathy,Penyakit Lainnya
G93,G93 Other disorders of brain,Penyakit Lainnya
G95,G95 Other diseases of spinal cord,Penyakit Lainnya
G96,G96 Other disorders of central nervous system,Penyakit Lainnya
G97,"G97 Postprocedural disorders of nervous system, not elsewhere classified",Penyakit Lainnya
G98,"G98 Other disorders of nervous system, not elsewhere classified",Penyakit Lainnya
H00,H00 Hordeolum and chalazion,Penyakit Lainnya
